Nr;key;Kurztitel;Langtitel;Zitiert nach:;Bde.;Verlinkt;Link vorhanden;Online abgeglichen;Digitalisat;Online-Zugriff;Geschichtsquellen.de;Arlima.net;Supplement;Band I;Band I,1;Band I,2;Band II;Band III;Band IV;Band V;Band VI;Band VII;Band VII,1;Band VII,2;Band VIII;Band IX;Band X;Band XI;Band XII;Band XIII;Band XIV;Band XV;Band XVI;Hinweis;;;;;;;;;;;;;;;
229;Gleber,_Eugen_III.;Gleber, Eugen III.;Helmut Gleber, Papst Eugen III. (1145–1153) unter besonderer Berücksichtigung seiner politischen Tätigkeit, Jena 1936 (Beiträge zur mittelalterlichen und neueren Geschichte, 6). ;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;Goetting,_Hildesheimer_Bischöfe_;Goetting, Hildesheimer Bischöfe ;Hans Goetting, Das Bistum Hildesheim 3: Die Hildesheimer Bischöfe von 815 bis 1221 (1227), Berlin, New York 1984 (Germania Sacra, N. F. 20).;;;;X;X;https://doi.org/10.26015/adwdocs-91 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;Goffinet,_Cartulaire_de_l’abbaye_d’Orval;Goffinet, Cartulaire de l’abbaye d’Orval;Cartulaire de l’abbaye d’Orval, depuis l’origine de ce monastère jusqu’à l’année 1365 inclusivement, époque de la réunion du comté de Chiny au duché de Luxembourg, ed. Hippolyte Goffinet, Bruxelles 1879 (Commission royale d’histoire. Publications in-quarto, 21,2).;;;;X;X;http://www.archive.org/details/cartulairedepuis00orvauoft ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;Gottlob,_Chorepiskopat;Gottlob, Chorepiskopat;Theodor Gottlob, Der abendländische Chorepiskopat, Amsterdam 1963 (Kanonistische Studien und Texte, 1).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Gousset,_Actes_de_la_province_de_Reims;Gousset, Actes de la province de Reims;Les actes de la Province ecclésiastique de Reims ou canons et decrets des conciles, constitutions, statuts, et lettres des évêques, ed. Thomas Maria Joseph Gousset, 4 Bde., Reims 1842–1844.;;"I ; II";;X;X;;;;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10004610-5;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10004611-1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Grabmann,_Geschichte_der_scholastischen_Methode;Grabmann, Geschichte der scholastischen Methode;Martin Grabmann, Die Geschichte der scholastischen Methode, 2 Bde., Freiburg i. Br. 1909–1911.;;II;;X;X;;;;;;https://archive.org/details/diegeschichteder01grab;;;https://archive.org/details/DieGeschichteDerScholaGrabm2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;Grat-de_Font-Réaulx,_Recueil_des_actes_de_Louis_II_le_Bègue;Grat/de Font-Réaulx, Recueil des actes de Louis II le Bègue;Recueil des actes de Louis II le Bègue, Louis III et Carloman II, rois de France 877–884, ed. Félix Grat, Jacques de Font-Réaulx, Paris 1978 (Chartes et diplômes relatifs à l’histoire de France, 12).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Grat-Vielliard-Clémencet,_Annales_de_Saint-Bertin;Grat/Vielliard/Clémencet, Annales de Saint-Bertin;Les Annales de Saint-Bertin, ed. Félix Grat, Jeanne Vieilliard, Suzanne Clémencet, Paris 1964 (Société de l’histoire de France. Publications, 95).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Grellet-Balguerie,_Cartulaire_de_Saint-Pierre_de_la_Réole;Grellet-Balguerie, Cartulaire de Saint-Pierre de la Réole;Louis-Charles Grellet-Balguerie, Cartulaire du prieuré conventuel de Saint-Pierre de La Réole en Bazadais du IXe au XIIe siècle, in: Archives historiques du Département de la Gironde 5 (1863), S. 99–186.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k341046/f112.item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;Gresser,_Synoden;Gresser, Synoden;Georg Gresser, Die Synoden und Konzilien in der Zeit des Reformpapsttums in Deutschland und Italien von Leo IX. bis Calixt II. 1049–1123, Paderborn u. a. 2006 (Konziliengeschichte. Reihe A. Darstellungen).;;;;X;X;https://books.google.fr/books?id=7BPZAAAAMAAJ&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;Grosse,_Papsturkunden_in_Frankreich_N._F._9;Grosse, Papsturkunden in Frankreich N. F. 9;Papsturkunden in Frankreich. N. F. 9: Diözese Paris II: Abtei Saint-Denis, ed. Rolf Grosse, Göttingen 1998 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, 3. Folge, 225).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;Grotz,_Hadrian;Grotz, Hadrian;Hans Grotz, Erbe wider Willen. Hadrian II. (867–872) und seine Zeit, Wien 1970.;;;;(X);X;https://archive.org/details/erbewiderwillenh0000grot;;;;;;;;;;;;;;;;;;;;;;;;;Ausleihbar mit kostenlosem Konto (archive.org);;;;;;;;;;;;;;;
241;Guibert,_Destruction;Guibert, Destruction;"Louis Guibert, Destruction de l’ordre et de l’abbaye de Grandmont, in: Bulletin de la Société Archéologique et Historique du Limousin 24 (1876), S. 1–368 (I); 25 (1877), S. 35–385 (II).";;II;;X;X;;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k5470535t;;;https://gallica.bnf.fr/ark:/12148/bpt6k6139710v/f43.item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Gysseling,_Toponymisch_Woordenboek;Gysseling, Toponymisch Woordenboek;Maurits Gysseling, Toponymisch Woordenboek van Belgie, Nederland, Luxemburg, Noord-Frankrijk en West-Duitsland (voor 1226), 2 Bde., Gent 1960 (Bouwstoffen en Studien voor de geschiedenis en de lexicografie van het Nederlands, 6,1–2).;;I;;X;X;;https://bouwstoffen.kantl.be/tw/;;;;https://bouwstoffen.kantl.be/tw/facsimile/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;von_Hacke,_Palliumsverleihungen;von Hacke, Palliumsverleihungen;Curt-Bogislav Graf von Hacke, Die Palliumsverleihungen bis 1143. Eine diplomatisch-historische Untersuchung, Göttingen 1898.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;Hageneder,_Die_Register_Innocenz’_III._8;Hageneder, Die Register Innocenz’ III. 8;Die Register Innocenz’ III, Bd. 8: 8. Pontifikatsjahr 1205/1206, ed. Othmar Hageneder, Andrea Sommerlechner, Wien 2001 (Publikationen des Historischen Instituts beim Österreichischen Kulturinstitut in Rom, 2. Abt., Quellen, Reihe 1).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;Hageneder-Haidacher,_Die_Register_Innocenz’_III._1;Hageneder/Haidacher, Die Register Innocenz’ III. 1;Die Register Innocenz’ III, Bd. 1: 1. Pontifikatsjahr 1198–1199. Texte, ed. Othmar Hageneder, Anton Haidacher, Graz u. a. 1964 (Publikationen des Historischen Instituts beim Österreichischen Kulturinstitut in Rom, 2. Abt., Quellen, Reihe 1).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;Hageneder-Maleczek-Strnad,_Die_Register_Innocenz’_III._2;Hageneder/Maleczek/Strnad, Die Register Innocenz’ III. 2;Die Register Innocenz’ III. 2. Pontifikatsjahr, 1188/1200. Texte, ed. Othmar Hageneder, Werner Maleczek, Alfred A. Strnad, Rom, Wien 1979 (Publikationen des Österreichischen Kulturinstituts in Rom. 2. Abt., Quellen, Reihe 1).;;Texte;;X;X;https://archive.org/details/dieregisterinnoc0000cath ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;Haigneré,_Cartulaire_de_Notre-Dame_de_Boulogne;Haigneré, Cartulaire de Notre-Dame de Boulogne;Cartulaire de l’église abbatiale de Notre-Dame de Boulogne-sur-Mer, ordre de Saint-Augustin 1067–1567, ed. Daniel Haigneré, in: Mémoires de la société académique de l’arrondissement de Boulogne-sur-Mer 13 (1882–1886), S. 89–360.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;Haigneré,_Les_chartes_de_Saint-Bertin;Haigneré, Les chartes de Saint-Bertin;Les chartes de Saint-Bertin. D’après le grand cartulaire de dom Charles-Joseph Dewitte, dernier archiviste de ce monastère, ed. Daniel Haigneré, 4 Bde., Saint-Omer 1886–1899.;;I;;X;X;;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k32101228;;;https://gallica.bnf.fr/ark:/12148/bpt6k3210380d;https://gallica.bnf.fr/ark:/12148/bpt6k3210092k;https://gallica.bnf.fr/ark:/12148/bpt6k3210114q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;Halkin-Roland,_Recueil_des_chartes_de_l’abbaye_de_Stavelot-Malmedy;Halkin/Roland, Recueil des chartes de l’abbaye de Stavelot-Malmedy;Recueil des chartes de l’abbaye de Stavelot-Malmedy, ed. Joseph Halkin, Charles Gustave Roland, 2 Bde., Bruxelles 1909–1930 (Commission royale d’histoire. Publications in-quarto, 36,1–2).;;I;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;Halphen-Lot,_Recueil_des_actes_de_Lothaire_et_de_Louis_V;Halphen/Lot, Recueil des actes de Lothaire et de Louis V;Recueil des actes de Lothaire et de Louis V rois de France (954–987), ed. Louis Halphen, Ferdinand Lot, Paris 1908 (Chartes et diplômes relatifs à l’histoire de France, 2).;;;;X;X;https://archive.org/details/recueildesactesd00fran ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;Hampe,_Zum_Streite_Hincmars;Hampe, Zum Streite Hincmars;Karl Hampe, Zum Streite Hincmars von Reims mit seinem Vorgänger Ebo und dessen Anhängern, in: Neues Archiv 23 (1898), S. 180–195. ;;;;X;X;http://resolver.sub.uni-goettingen.de/purl?PPN345858530_0023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;Hardouin,_Acta_conciliorum;Hardouin, Acta conciliorum;Acta conciliorum et epistolae decretales ac constitutiones summorum pontificium, ed. Jean Hardouin, 11 Bde., Paris 1714–1715.;;5;;X;X;;;;;;;;;;;;https://books.google.fr/books?id=O8QpHyd0QmMC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Hartmann,_Fälschungsverdacht;Hartmann, Fälschungsverdacht;Wilfried Hartmann, Fälschungsverdacht und Fälschungsnachweis im früheren Mittelalter, in: Fälschungen im Mittelalter. Internationaler Kongreß der Monumenta Germaniae Historica München, 16.–19. September 1986, Bd. 2: Gefälschte Rechtstexte. Der bestrafte Fälscher, Hannover 1988 (MGH Schriften, 33,2), S. 110–127.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;Hartmann,_Sendhandbuch;Hartmann, Sendhandbuch;Wilfried Hartmann, Das Sendhandbuch des Regino von Prüm. Unter Benutzung der Edition von F. W. H. Wasserschleben, Darmstadt 2004 (Ausgewählte Quellen zur deutschen Geschichte des Mittelalters, 42).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;Hartmann,_Synoden_der_Karolingerzeit;Hartmann, Synoden der Karolingerzeit;Wilfried Hartmann, Die Synoden der Karolingerzeit im Frankenreich und in Italien, Paderborn 1989 (Konziliengeschichte. Reihe A. Darstellungen).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;Haseldine,_Letters_of_Peter_of_Celle;Haseldine, Letters of Peter of Celle;The letters of Peter of Celle, ed. Julian P. Haseldine, Oxford 2001 (Oxford medieval texts).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;Havet,_Lettres_de_Gerbert;Havet, Lettres de Gerbert;Lettres de Gerbert (983–997), ed. Julien Havet, Paris 1889 (Collection de textes pour servir à l’étude et à l’enseignement de l’histoire, 6).;;;;X;X;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11619585-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Hehl,_Erzbischof_Ruotbert;Hehl, Erzbischof Ruotbert;Ernst-Dieter Hehl, Erzbischof Ruotbert von Trier und der Reimser Streit, in: ders., Hubertus Seibert, Franz Staab (Hg.), Deus qui mutat tempora. Menschen und Institutionen im Wandel des Mittelalters. Festschrift für Alfons Becker zu seinem fünfundsechzigsten Geburtstag, Sigmaringen 1987, S. 55–68.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;Hefele-Leclercq, Histoire;Hefele/Leclercq, Histoire;Karl Joseph Hefele, Henri Leclercq, Histoire des conciles d'après les documents originaux, 11 Bde., Paris (1907–1952).;;;;X;X;http://opac.regesta-imperii.de/id/92946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;de_Hemptinne-Verhulst,_De_oorkonden_der_graven_van_Vlaanderen;de Hemptinne/Verhulst, De oorkonden der graven van Vlaanderen;De Oorkonden der Graven van Vlaanderen (Juli 1128–September 1191), ed. Thérèse de Hemptinne, Adriaan Verhulst, 3 Bde., 2. Aufl., Bruxelles 1988–2009 (Verzameling van de Akten der Belgische Vorsten/Recueil des actes des princes belges, 6).;;"I ; II";;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;Henriquez,_Fasciculus_sanctorum_ordinis_Cisterciensis;Henriquez, Fasciculus sanctorum ordinis Cisterciensis;Fasciculus sanctorum ordinis cisterciensis, ed. Crisotomo Henriquez. 2 Bde., Köln 1631.;;I;;X;X;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11061412-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;Herbers,_Leo_IV.;Herbers, Leo IV.;Klaus Herbers, Papst Leo IV. und das Papsttum in der Mitte des 9. Jahrhunderts. Möglichkeiten und Grenzen päpstlicher Herrschaft in der späten Karolingerzeit, Stuttgart ²2017 (Päpste und Papsttum, 27).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;d’Herbomez,_Cartulaire_de_l’abbaye_de_Gorze;d’Herbomez, Cartulaire de l’abbaye de Gorze;Cartulaire de l’abbaye de Gorze. Ms. 826 de la bibliothèque de Metz, ed. Armand d’Herbomez, Paris 1898 (Mettensia, 2).;;;;X;X;https://archive.org/details/cartulairedelab00stadgoog/page/n16/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;Herde,_Audientia_litterarum_contradictarum;Herde, Audientia litterarum contradictarum;Peter Herde, Audientia litterarum contradictarum. Untersuchungen über die päpstlichen Justizbriefe und die päpstliche Delegationsgerichtsbarkeit vom 13. bis zum Beginn des 16. Jahrhunderts. 2 Bde., Tübingen 1970 (Bibliothek des Deutschen Historischen Instituts in Rom, 31–32).;;I;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;Herde,_Fälschungsdelikt;Herde, Fälschungsdelikt;Peter Herde, Römisches und kanonisches Recht bei der Verfolgung des Fälschungsdelikts im Mittelalter, in: Traditio 21 (1965), S. 291–362.;;;;(X);X;https://www.jstor.org/stable/27830794;;;;;;;;;;;;;;;;;;;;;;;;;JSTOR;;;;;;;;;;;;;;;
266;Hiestand,_Byzanz;Hiestand, Byzanz;Rudolf Hiestand, Byzanz und das »Regnum Italicum« im 10. Jahrhundert. Ein Beitrag zur ideologischen und machtpolitischen Auseinandersetzung zwischen Osten und Westen, Zürich 1964 (Geist und Werk der Zeiten. Arbeiten aus dem Historischen Seminar der Universität Zürich, 9).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;Hiestand,_Konrad_von_Wittelsbach_und_Wilhelm_von_Champagne;Hiestand, Konrad von Wittelsbach und Wilhelm von Champagne;Rudolf Hiestand, Konrad von Wittelsbach und Wilhelm von Champagne oder Mainz, Reims und die Kurie am Ende des 12. Jahrhunderts, in: Heinz Finger (Hg.), Bischöfe, Klöster, Universitäten und Rom. Gedenkschrift für Josef Semmler (1928–2011), Köln 2012 (Libelli Rhenani, 41), S. 83–146.;;;;X;X;https://digital.dombibliothek-koeln.de/ddbkhd/periodical/titleinfo/409048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;Hiestand,_Matthäus_von_Albano;Hiestand, Matthäus von Albano;Rudolf Hiestand, Kardinalbischof Matthäus von Albano, das Konzil von Troyes und die Entstehung des Tempelordens, in: Zeitschrift für Kirchengeschichte 99 (1988), S. 295–325.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;Hiestand,_Troyes;Hiestand, Troyes;Rudolf Hiestand, Von Troyes – oder Trier? – nach Reims. Zur Generalsynode Eugens III. im Frühjahr 1148, in: Joachim Dahlhaus, Armin Kohnle (Hg.), Papstgeschichte und Landesgeschichte. Festschrift für Hermann Jakobs zum 65. Geburtstag, Köln, Weimar, Wien 1995 (Archiv für Kulturgeschichte, Beiheft 39), S. 329–348.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Higounet,_Champart;Higounet, Champart;Charles Higounet, Champart, in: Lexikon des Mittelalters, Bd. 2, München, Zürich 1983, Sp. 1689.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;Higounet-Higounet-Nadal,_Grand_cartulaire_de_La_Sauve-Majeure;Higounet/Higounet-Nadal, Grand cartulaire de La Sauve-Majeure;Grand cartulaire de La Sauve-Majeure, ed. Charles Higounet, Arlette Higournet-Nadal, 2 Bde., Bordeaux 1996 (Études et documents d’Aquitaine, 8).;;II;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;Hinschius,_Decretales;Hinschius, Decretales;Decretales Pseudo-Isidorianae et Capitula Angilramni, ed. Paul Hinschius, Leipzig 1863.;;;;X;X;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10801053-5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;Hinschius,_Kirchenrecht;Hinschius, Kirchenrecht;Paul Hinschius, Das Kirchenrecht der Katholiken und Protestanten in Deutschland. System des katholischen Kirchenrechts mit besonderer Berücksichtigung auf Deutschland, 6 Bde., Berlin 1869–1897.;;I;;X;X;;;;;;https://archive.org/details/daskirchenrecht00hinsgoog/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;Hlawitschka,_Lotharingien;Hlawitschka, Lotharingien;Eduard Hlawitschka, Lotharingien und das Reich an der Schwelle der deutschen Geschichte, Stuttgart 1968 (MGH Schriften, 21).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;Hlawitschka,_Textkritisches;Hlawitschka, Textkritisches;Eduard Hlawitschka, Textkritisches zur Series abbatum Flaviniacensium, in: Georg Droege, Peter Schöller, Rudolf Schützeichel u. a. (Hg.), Landschaft und Geschichte. Festschrift für Franz Petri zu seinem 65. Geburtstag am 22. Februar 1968, Bonn 1970, S. 250–265.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;Hödl-Classen,_Admonter_Briefsammlung;Hödl/Classen, Admonter Briefsammlung;Die Admonter Briefsammlung. Nebst ergänzenden Briefen, ed. Günther Hödl, Peter Classen, München 1983 (MGH Briefe der deutschen Kaiserzeit, 6).;;;;X;X;https://www.dmgh.de/mgh_briefe_d_dt_kaiserzeit_6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;Holtzmann,_Beziehungen_Urbans_II.;Holtzmann, Beziehungen Urbans II.;Walther Holtzmann, Die Beziehungen Urbans II. zu Frankreich, Diss. phil. masch. Heidelberg 1920.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;Holtzmann,_Collectio_Seguntina;Holtzmann, Collectio Seguntina;Walther Holtzmann, La »collectio Seguntina« et les décrétales de Clément III et de Célestin III, in: Revue d’histoire ecclésiastique 50 (1955), S. 400–453.;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;Holtzmann,_Eine_Bannsentenz;Holtzmann, Eine Bannsentenz;Walther Holtzmann, Zur Geschichte des Investiturstreits (Englische Analekten 2). 4: Eine Bannsentenz des Konzils von Reims 1119, in: Neues Archiv 50 (1935), S. 301–319.;;;;X;X;https://resolver.sub.uni-goettingen.de/purl?PPN345858530_0050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;Holtzmann,_Kanonistische_Ergänzungen;Holtzmann, Kanonistische Ergänzungen;"Walther Holtzmann, Kanonistische Ergänzungen zur Italia pontificia I–IV, in: Quellen und Forschungen aus italienischen Archiven und Bibliotheken 37 (1957), S. 55–102; Kanonistische Ergänzungen zur Italia pontificia V–X, in: Quellen und Forschungen aus italienischen Archiven und Bibliotheken 38 (1958), S. 67–175.";;;;X;X;https://perspectivia.net/publikationen/qfiab/38-1958/0067-0175 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;Holtzmann,_Päpstliche_Gesetzgebung;Holtzmann, Päpstliche Gesetzgebung;Walther Holtzmann, Zur päpstlichen Gesetzgebung über die Juden im 12. Jahrhundert, in: Festschrift Guido Kisch, Rechtshistorische Forschungen anläßlich des 60 Geburtstags dargebracht von Freunden, Kollegen und Schülern, Stuttgart, 1955, S. 217–235.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;Holtzmann,_Papsturkunden_in_England;Holtzmann, Papsturkunden in England;"Walther Holtzmann, Papsturkunden in England, 3 Bde., Göttingen 1930–1952 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, N. F. 25,1–2; 3. Folge, 14–15; 3. Folge, 33).";;"I ; II ; III";;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;Hommey,_Supplementum_patrum;Hommey, Supplementum patrum;Supplementum patrum complectitur multa ss. patrum, conciliorum, scriptorumque ecclesiasticorum opera, quæ primum e ms. codicibus eruit, notis & dissertationibus illustravit, ed. Jacobus Hommey, Paris 1686.;;;;X;X;https://books.google.fr/books?id=6rZbAAAAQAAJ&printsec=frontcover&source=gbs_vpt_read&redir_esc=y#v=onepage&q&f=false ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;Horn,_Studien;Horn, Studien;Michael Horn, Studien zur Geschichte Papst Eugens III. (1145–1153), Frankfurt a. M. u. a. 1992 (Europäische Hochschulschriften. Reihe III. Geschichte und ihre Hilfswissenschaften, 508).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;Hourlier,_Anselme;Hourlier, Anselme;Jacques Hourlier, Anselme de Saint-Remy: histoire de la dédicace de Saint-Remy, in: La Champagne bénédictine. Contribution à l’année saint Benoît (480–1980), Reims 1981 (Travaux de l’Académie Nationale de Reims, 160), S. 179–297.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;Hugo,_Ordinis_Praemonstratensis_annales;Hugo, Ordinis Praemonstratensis annales;Sacri Et Canonici Ordinis Praemonstratensis Annales, ed. Carolus Ludovicus Hugo, 2 Bde., Nancy 1734–1736.;;"I ; II prob.";;X;X;;;;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10939820-1 ;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10939821-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;Hüls,_Kardinäle,_Klerus_und_Kirchen;Hüls, Kardinäle, Klerus und Kirchen;Rudolf Hüls, Kardinäle, Klerus und Kirchen Roms 1049–1130, Tübingen 1977 (Bibliothek des Deutschen Historischen Instituts in Rom, 48).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;Huth,_Erzbischof_Arnulf;Huth, Erzbischof Arnulf;Volkhard Huth, Erzbischof Arnulf von Reims und der Kampf um das Königtum im Westfrankenreich. Zugleich ein Beitrag zur Geschichte der Remigius-Fälschungen, in: Francia 21,1 (1994), S. 85–124.;;;;X;X;https://francia.digitale-sammlungen.de/Blatt_bsb00016298,00095.html;https://perspectivia.net/publikationen/francia/bsb00016298/francia-021_1-1994-00095-00134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;Huygens,_Liber_de_restavratione;Huygens, Liber de restavratione;Herimannus Abbas, Liber de restavratione ecclesie Sancti Martini Tornacensis, ed. Robert Burchard Constantijn Huygens, Turnhout 2010 (Corpus Christianorum. Continuatio mediaevalis, 236).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;Huygens,_Monumenta_Vizeliacensia;Huygens, Monumenta Vizeliacensia;Monumenta Vizeliacensia. Textes relatifs à l’histoire de l’abbaye de Vézelay, ed. Robert Burchard Constantijn Huygens, 2 Bde., Turnhout 1976–1980 (Corpus Christianorum. Continuatio mediaevalis, 42).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;Huyghebaert,_Saint_Arnould_de_Soissons;Huyghebaert, Saint Arnould de Soissons;Nicolas-Norbert Huyghebaert, Saint Arnould de Soissons et la consécration de l’église du prieuré de Coincy (1082), in: Analecta Bollandiana 85 (1967), S. 317–329.;;;;(X);X;https://www.brepolsonline.net/doi/abs/10.1484/J.ABOL.4.02648?journalCode=aboll;;;;;;;;;;;;;;;;;;;;;;;;;Brepols;;;;;;;;;;;;;;;
